// Compost colors for immersivegeology. You may add your own colors, change existing ones, or remove colors that aren't needed.
blueprint_multiblock_plans, #d7c9b1
compound_dust_stainlesssteel, #f0f0f0
compound_dust_steel, #f0f0f0
compound_dust_thorium, #f0f0f0
compound_dust_tin, #f0f0f0
compound_dust_titanium, #f0f0f0
compound_dust_tungsten, #f0f0f0
compound_dust_unobtanium, #f0f0f0
compound_dust_uranium, #f0f0f0
compound_dust_vanadium, #f0f0f0
compound_dust_zinc, #f0f0f0
compound_dust_zirconium, #f0f0f0
crushed_ore_acanthite, #b6b6b6
crushed_ore_alumina, #b6b6b6
crushed_ore_anatase, #b6b6b6
crushed_ore_bauxite, #b6b6b6
crushed_ore_cassiterite, #b6b6b6
crushed_ore_chalcocite, #b6b6b6
crushed_ore_chalcopyrite, #b6b6b6
crushed_ore_chromite, #b6b6b6
crushed_ore_cobaltite, #b6b6b6
crushed_ore_copper, #b6b6b6
crushed_ore_cryolite, #b6b6b6
crushed_ore_cuprite, #b6b6b6
crushed_ore_fluorite, #b6b6b6
crushed_ore_galena, #b6b6b6
crushed_ore_gold, #b6b6b6
crushed_ore_gypsum, #b6b6b6
crushed_ore_hematite, #b6b6b6
crushed_ore_ilmenite, #b6b6b6
crushed_ore_iron, #b6b6b6
crushed_ore_lead, #b6b6b6
crushed_ore_magnetite, #b6b6b6
crushed_ore_millerite, #b6b6b6
crushed_ore_molybdenite, #b6b6b6
crushed_ore_monazite, #b6b6b6
crushed_ore_osmium, #b6b6b6
crushed_ore_platinum, #b6b6b6
crushed_ore_pyrite, #b6b6b6
crushed_ore_pyrolusite, #b6b6b6
crushed_ore_scheelite, #b6b6b6
crushed_ore_silver, #b6b6b6
crushed_ore_smithsonite, #b6b6b6
crushed_ore_sphalerite, #b6b6b6
crushed_ore_thorianite, #b6b6b6
crushed_ore_thorite, #b6b6b6
crushed_ore_unobtania, #b6b6b6
crushed_ore_uraninite, #b6b6b6
crushed_ore_vanadinite, #b6b6b6
crushed_ore_wolframite, #b6b6b6
crushed_ore_zircon, #b6b6b6
crystal_aluminum, #bebebe
crystal_carnallite, #bebebe
crystal_chromium, #bebebe
crystal_cobalt, #c9c9c9
crystal_copper, #bebebe
crystal_gold, #bebebe
crystal_iron, #bebebe
crystal_lead, #bebebe
crystal_magnesium, #bebebe
crystal_manganese, #bebebe
crystal_molybdenum, #bebebe
crystal_neodymium, #c9c9c9
crystal_nickel, #bebebe
crystal_osmium, #c9c9c9
crystal_platinum, #bebebe
crystal_rocksalt, #bebebe
crystal_saltpeter, #bebebe
crystal_silver, #bebebe
crystal_sodium, #bebebe
crystal_steel, #bebebe
crystal_thorium, #bebebe
crystal_tin, #7d7d7d
crystal_titanium, #c9c9c9
crystal_tungsten, #bebebe
crystal_unobtanium, #bebebe
crystal_uranium, #686969
crystal_vanadium, #bebebe
crystal_zinc, #c9c9c9
crystal_zirconium, #c9c9c9
dirty_crushed_ore_acanthite, #bbbbbb
dirty_crushed_ore_alumina, #bbbbbb
dirty_crushed_ore_anatase, #bbbbbb
dirty_crushed_ore_bauxite, #bbbbbb
dirty_crushed_ore_cassiterite, #bbbbbb
dirty_crushed_ore_chalcocite, #bbbbbb
dirty_crushed_ore_chalcopyrite, #bbbbbb
dirty_crushed_ore_chromite, #bbbbbb
dirty_crushed_ore_cobaltite, #bbbbbb
dirty_crushed_ore_copper, #bbbbbb
dirty_crushed_ore_cryolite, #bbbbbb
dirty_crushed_ore_cuprite, #bbbbbb
dirty_crushed_ore_fluorite, #bbbbbb
dirty_crushed_ore_galena, #bbbbbb
dirty_crushed_ore_gold, #bbbbbb
dirty_crushed_ore_gypsum, #bbbbbb
dirty_crushed_ore_hematite, #bbbbbb
dirty_crushed_ore_ilmenite, #bbbbbb
dirty_crushed_ore_iron, #bbbbbb
dirty_crushed_ore_lead, #bbbbbb
dirty_crushed_ore_magnetite, #bbbbbb
dirty_crushed_ore_millerite, #bbbbbb
dirty_crushed_ore_molybdenite, #bbbbbb
dirty_crushed_ore_monazite, #bbbbbb
dirty_crushed_ore_osmium, #bbbbbb
dirty_crushed_ore_platinum, #bbbbbb
dirty_crushed_ore_pyrite, #bbbbbb
dirty_crushed_ore_pyrolusite, #bbbbbb
dirty_crushed_ore_scheelite, #bbbbbb
dirty_crushed_ore_silver, #bbbbbb
dirty_crushed_ore_smithsonite, #bbbbbb
dirty_crushed_ore_sphalerite, #bbbbbb
dirty_crushed_ore_thorianite, #bbbbbb
dirty_crushed_ore_thorite, #bbbbbb
dirty_crushed_ore_unobtania, #bbbbbb
dirty_crushed_ore_uraninite, #bbbbbb
dirty_crushed_ore_vanadinite, #bbbbbb
dirty_crushed_ore_wolframite, #bbbbbb
dirty_crushed_ore_zircon, #bbbbbb
gear_aluminum, #ffffff
gear_bronze, #f78e2a
gear_chromium, #e8ffff
gear_cobalt, #bec0dd
gear_copper, #ffffff
gear_gold, #ffffff
gear_hastelloy, #ffffff
gear_iron, #ffffff
gear_lead, #ffffff
gear_magnesium, #ffffff
gear_manganese, #a49087
gear_neodymium, #ffffff
gear_nickel, #ffffff
gear_osmium, #ffffff
gear_platinum, #eef2f7
gear_silver, #ffffff
gear_sodium, #ffffff
gear_stainlesssteel, #ffffff
gear_steel, #ffffff
gear_thorium, #fffeff
gear_tin, #fffbe6
gear_titanium, #ffffff
gear_tungsten, #ffffff
gear_tungstencarbide, #ffffff
gear_unobtanium, #ffffff
gear_uranium, #ffffff
gear_vanadium, #ffffff
gear_zinc, #ffffff
gear_zirconium, #ffffff
grit_acanthite, #ffffff
grit_alumina, #ffffff
grit_aluminum, #ffffff
grit_anatase, #ffffff
grit_bauxite, #ffffff
grit_bronze, #ffffff
grit_carnallite, #ffffff
grit_cassiterite, #ffffff
grit_chalcocite, #ffffff
grit_chalcopyrite, #ffffff
grit_chromite, #ffffff
grit_chromium, #ffffff
grit_cobalt, #ffffff
grit_cobaltite, #ffffff
grit_copper, #ffffff
grit_cryolite, #ffffff
grit_cuprite, #ffffff
grit_fluorite, #ffffff
grit_galena, #ffffff
grit_gold, #ffffff
grit_gypsum, #ffffff
grit_hastelloy, #ffffff
grit_hematite, #ffffff
grit_ilmenite, #ffffff
grit_iron, #ffffff
grit_lead, #ffffff
grit_magnesium, #ffffff
grit_magnetite, #ffffff
grit_manganese, #ffffff
grit_millerite, #ffffff
grit_moltenmantle, #ffffff
grit_molybdenite, #ffffff
grit_molybdenum, #ffffff
grit_monazite, #ffffff
grit_neodymium, #ffffff
grit_nickel, #ffffff
grit_osmium, #ffffff
grit_platinum, #ffffff
grit_pyrite, #ffffff
grit_pyrolusite, #ffffff
grit_rocksalt, #ffffff
grit_saltpeter, #ffffff
grit_scheelite, #ffffff
grit_silver, #ffffff
grit_smithsonite, #ffffff
grit_sodium, #ffffff
grit_sphalerite, #ffffff
grit_stainlesssteel, #ffffff
grit_steel, #ffffff
grit_thorianite, #ffffff
grit_thorite, #ffffff
grit_thorium, #ffffff
grit_tin, #ffffff
grit_titanium, #ffffff
grit_tungsten, #ffffff
grit_unobtania, #ffffff
grit_unobtanium, #ffffff
grit_uraninite, #ffffff
grit_uranium, #ffffff
grit_vanadinite, #ffffff
grit_vanadium, #ffffff
grit_wolframite, #ffffff
grit_zinc, #ffffff
grit_zircon, #ffffff
grit_zirconium, #ffffff
hammer_bronze, #be9d54
hammer_stainlesssteel, #826c64
hammer_stone, #988a80
ingot_bronze, #f88e2a
ingot_chromium, #f5ffff
ingot_cobalt, #f0f5ff
ingot_hastelloy, #ffffff
ingot_magnesium, #ffffff
ingot_manganese, #a5918a
ingot_molybdenum, #ffffff
ingot_neodymium, #ffffff
ingot_osmium, #ffffff
ingot_platinum, #e6ebf1
ingot_sodium, #ffffff
ingot_stainlesssteel, #ffffff
ingot_thorium, #cc93ff
ingot_tin, #ffffff
ingot_titanium, #d3d2d7
ingot_tungsten, #ffffff
ingot_tungstencarbide, #ffffff
ingot_unobtanium, #ffffff
ingot_vanadium, #ffffff
ingot_zinc, #ffffff
ingot_zirconium, #ffffff
mechanical_component_hastelloy, #8e8e8e
metal_oxide_aluminum, #a4a4a4
metal_oxide_calcium, #a4a4a4
metal_oxide_chromium, #a4a4a4
metal_oxide_cobalt, #a4a4a4
metal_oxide_copper, #a4a4a4
metal_oxide_gold, #a4a4a4
metal_oxide_iron, #a4a4a4
metal_oxide_lead, #a4a4a4
metal_oxide_magnesium, #a4a4a4
metal_oxide_manganese, #a4a4a4
metal_oxide_molybdenum, #a4a4a4
metal_oxide_neodymium, #a4a4a4
metal_oxide_nickel, #a4a4a4
metal_oxide_osmium, #a4a4a4
metal_oxide_platinum, #a4a4a4
metal_oxide_silver, #a4a4a4
metal_oxide_sodium, #a4a4a4
metal_oxide_steel, #a4a4a4
metal_oxide_thorium, #a4a4a4
metal_oxide_tin, #a4a4a4
metal_oxide_titanium, #a4a4a4
metal_oxide_tungsten, #a4a4a4
metal_oxide_unobtanium, #a4a4a4
metal_oxide_uranium, #a4a4a4
metal_oxide_vanadium, #a4a4a4
metal_oxide_zinc, #a4a4a4
metal_oxide_zirconium, #a4a4a4
normal_ore_acanthite, #87dcd2
normal_ore_alumina, #97a2cd
normal_ore_anatase, #a4b4c0
normal_ore_bauxite, #8d97a1
normal_ore_cassiterite, #c39482
normal_ore_chalcocite, #a7aba0
normal_ore_chalcopyrite, #9ba875
normal_ore_chromite, #b1afca
normal_ore_cobaltite, #b8c3e3
normal_ore_copper, #f1f1f1
normal_ore_cryolite, #f1f1f1
normal_ore_cuprite, #f1f1f1
normal_ore_fluorite, #f1f1f1
normal_ore_galena, #f1f1f1
normal_ore_gold, #ffe348
normal_ore_gypsum, #f1f1f1
normal_ore_hematite, #f1f1f1
normal_ore_ilmenite, #f1f1f1
normal_ore_iron, #f1f1f1
normal_ore_lead, #f1f1f1
normal_ore_magnetite, #f1f1f1
normal_ore_millerite, #f1f1f1
normal_ore_molybdenite, #f1f1f1
normal_ore_monazite, #f1f1f1
normal_ore_osmium, #f1f1f1
normal_ore_platinum, #f1f1f1
normal_ore_pyrite, #f1f1f1
normal_ore_pyrolusite, #f1f1f1
normal_ore_scheelite, #f1f1f1
normal_ore_silver, #e4faff
normal_ore_smithsonite, #f1f1f1
normal_ore_sphalerite, #f1f1f1
normal_ore_thorianite, #f1f1f1
normal_ore_thorite, #f1f1f1
normal_ore_unobtania, #f1f1f1
normal_ore_uraninite, #f1f1f1
normal_ore_vanadinite, #f1f1f1
normal_ore_wolframite, #f1f1f1
normal_ore_zircon, #f1f1f1
nugget_bronze, #da7220
nugget_chromium, #d7eefa
nugget_cobalt, #ffffff
nugget_hastelloy, #9a9a9a
nugget_magnesium, #9a9a9a
nugget_manganese, #7a665f
nugget_molybdenum, #9a9a9a
nugget_neodymium, #9a9a9a
nugget_osmium, #9a9a9a
nugget_platinum, #c2c9cf
nugget_sodium, #9a9a9a
nugget_stainlesssteel, #9a9a9a
nugget_thorium, #ffffff
nugget_tin, #c9c0a5
nugget_titanium, #ffffff
nugget_tungsten, #9a9a9a
nugget_tungstencarbide, #9a9a9a
nugget_unobtanium, #9a9a9a
nugget_vanadium, #9a9a9a
nugget_zinc, #9a9a9a
nugget_zirconium, #9a9a9a
oxide_pellet_chromium, #b1b1b1
oxide_pellet_copper, #b1b1b1
oxide_pellet_iron, #b1b1b1
oxide_pellet_manganese, #b1b1b1
oxide_pellet_molybdenum, #b1b1b1
oxide_pellet_nickel, #b1b1b1
oxide_pellet_tin, #b1b1b1
oxide_pellet_tungsten, #b1b1b1
oxide_pellet_zinc, #b1b1b1
pellet_acanthite, #b1b1b1
pellet_cassiterite, #b1b1b1
pellet_chalcocite, #b1b1b1
pellet_cuprite, #b1b1b1
pellet_galena, #b1b1b1
pellet_hematite, #b1b1b1
pellet_magnetite, #b1b1b1
pellet_millerite, #b1b1b1
pellet_pyrite, #b1b1b1
pellet_pyrolusite, #b1b1b1
pellet_smithsonite, #b1b1b1
plate_bronze, #ffd98c
plate_chromium, #ffffff
plate_cobalt, #dde7fe
plate_hastelloy, #ffffff
plate_magnesium, #ffffff
plate_manganese, #9e897f
plate_molybdenum, #ffffff
plate_neodymium, #ffffff
plate_osmium, #ffffff
plate_platinum, #f8fcff
plate_sodium, #ffffff
plate_stainlesssteel, #ffffff
plate_thorium, #ffffff
plate_tin, #ffffff
plate_titanium, #ffffff
plate_tungsten, #ffffff
plate_tungstencarbide, #ffffff
plate_unobtanium, #ffffff
plate_vanadium, #ffffff
plate_zinc, #ffffff
plate_zirconium, #ffffff
poor_ore_acanthite, #89ddd4
poor_ore_alumina, #98a5cf
poor_ore_anatase, #a5b6c2
poor_ore_bauxite, #949ea8
poor_ore_cassiterite, #c69783
poor_ore_chalcocite, #a0a297
poor_ore_chalcopyrite, #97a46e
poor_ore_chromite, #a8a7c3
poor_ore_cobaltite, #b1bcdc
poor_ore_copper, #e7e7e7
poor_ore_cryolite, #e7e7e7
poor_ore_cuprite, #e7e7e7
poor_ore_fluorite, #e7e7e7
poor_ore_galena, #e7e7e7
poor_ore_gold, #ffd741
poor_ore_gypsum, #e7e7e7
poor_ore_hematite, #e7e7e7
poor_ore_ilmenite, #e7e7e7
poor_ore_iron, #e7e7e7
poor_ore_lead, #e7e7e7
poor_ore_magnetite, #e7e7e7
poor_ore_millerite, #e7e7e7
poor_ore_molybdenite, #e7e7e7
poor_ore_monazite, #e7e7e7
poor_ore_osmium, #e7e7e7
poor_ore_platinum, #e7e7e7
poor_ore_pyrite, #e7e7e7
poor_ore_pyrolusite, #e7e7e7
poor_ore_scheelite, #e7e7e7
poor_ore_silver, #d2edff
poor_ore_smithsonite, #e7e7e7
poor_ore_sphalerite, #e7e7e7
poor_ore_thorianite, #e7e7e7
poor_ore_thorite, #e7e7e7
poor_ore_unobtania, #e7e7e7
poor_ore_uraninite, #e7e7e7
poor_ore_vanadinite, #e7e7e7
poor_ore_wolframite, #e7e7e7
poor_ore_zircon, #e7e7e7
powder_acanthite, #ffffff
powder_alumina, #ffffff
powder_anatase, #ffffff
powder_bauxite, #ffffff
powder_bronze, #ffffff
powder_carnallite, #ffffff
powder_cassiterite, #ffffff
powder_chalcocite, #ffffff
powder_chalcopyrite, #ffffff
powder_chromite, #ffffff
powder_chromium, #ffffff
powder_cobalt, #ffffff
powder_cobaltite, #ffffff
powder_cryolite, #ffffff
powder_cuprite, #ffffff
powder_fluorite, #ffffff
powder_galena, #ffffff
powder_gypsum, #ffffff
powder_hastelloy, #ffffff
powder_hematite, #ffffff
powder_ilmenite, #ffffff
powder_magnesium, #ffffff
powder_magnetite, #ffffff
powder_manganese, #ffffff
powder_millerite, #ffffff
powder_molybdenite, #ffffff
powder_molybdenum, #ffffff
powder_monazite, #ffffff
powder_neodymium, #ffffff
powder_osmium, #ffffff
powder_platinum, #ffffff
powder_pyrite, #ffffff
powder_pyrolusite, #ffffff
powder_rocksalt, #ffffff
powder_saltpeter, #ffffff
powder_scheelite, #ffffff
powder_smithsonite, #ffffff
powder_sodium, #ffffff
powder_sphalerite, #ffffff
powder_stainlesssteel, #ffffff
powder_thorianite, #ffffff
powder_thorite, #ffffff
powder_thorium, #ffffff
powder_tin, #ffffff
powder_titanium, #ffffff
powder_tungsten, #ffffff
powder_unobtania, #ffffff
powder_unobtanium, #ffffff
powder_uraninite, #ffffff
powder_vanadinite, #ffffff
powder_vanadium, #ffffff
powder_wolframite, #ffffff
powder_zinc, #ffffff
powder_zircon, #ffffff
powder_zirconium, #ffffff
powdered_slag_acanthite, #bbbbbb
powdered_slag_alumina, #bbbbbb
powdered_slag_anatase, #bbbbbb
powdered_slag_bauxite, #bbbbbb
powdered_slag_calcium, #bbbbbb
powdered_slag_cassiterite, #bbbbbb
powdered_slag_chalcocite, #bbbbbb
powdered_slag_chalcopyrite, #bbbbbb
powdered_slag_chromite, #bbbbbb
powdered_slag_cobaltite, #bbbbbb
powdered_slag_cryolite, #bbbbbb
powdered_slag_cuprite, #bbbbbb
powdered_slag_fluorite, #bbbbbb
powdered_slag_galena, #bbbbbb
powdered_slag_gypsum, #bbbbbb
powdered_slag_hematite, #bbbbbb
powdered_slag_ilmenite, #bbbbbb
powdered_slag_magnetite, #bbbbbb
powdered_slag_millerite, #bbbbbb
powdered_slag_molybdenite, #bbbbbb
powdered_slag_monazite, #bbbbbb
powdered_slag_pyrite, #bbbbbb
powdered_slag_pyrolusite, #bbbbbb
powdered_slag_scheelite, #bbbbbb
powdered_slag_smithsonite, #bbbbbb
powdered_slag_sphalerite, #bbbbbb
powdered_slag_thorianite, #bbbbbb
powdered_slag_thorite, #bbbbbb
powdered_slag_unobtania, #bbbbbb
powdered_slag_uraninite, #bbbbbb
powdered_slag_vanadinite, #bbbbbb
powdered_slag_wolframite, #bbbbbb
powdered_slag_zircon, #bbbbbb
prospector_kit, #7c5f52
raw_fire_clay, #ffffff
refractory_brick, #d9a26f
rich_ore_acanthite, #90e4dd
rich_ore_alumina, #a0abd7
rich_ore_anatase, #acbeca
rich_ore_bauxite, #97a1ab
rich_ore_cassiterite, #cd9e89
rich_ore_chalcocite, #a4a89e
rich_ore_chalcopyrite, #9da872
rich_ore_chromite, #afaeca
rich_ore_cobaltite, #b6c0e1
rich_ore_copper, #f1f1f1
rich_ore_cryolite, #f1f1f1
rich_ore_cuprite, #f1f1f1
rich_ore_fluorite, #f1f1f1
rich_ore_galena, #f1f1f1
rich_ore_gold, #ffe344
rich_ore_gypsum, #f1f1f1
rich_ore_hematite, #f1f1f1
rich_ore_ilmenite, #f1f1f1
rich_ore_iron, #f1f1f1
rich_ore_lead, #f1f1f1
rich_ore_magnetite, #f1f1f1
rich_ore_millerite, #f1f1f1
rich_ore_molybdenite, #f1f1f1
rich_ore_monazite, #f1f1f1
rich_ore_osmium, #f1f1f1
rich_ore_platinum, #f1f1f1
rich_ore_pyrite, #f1f1f1
rich_ore_pyrolusite, #f1f1f1
rich_ore_scheelite, #f1f1f1
rich_ore_silver, #e7ffff
rich_ore_smithsonite, #f1f1f1
rich_ore_sphalerite, #f1f1f1
rich_ore_thorianite, #f1f1f1
rich_ore_thorite, #f1f1f1
rich_ore_unobtania, #f1f1f1
rich_ore_uraninite, #f1f1f1
rich_ore_vanadinite, #f1f1f1
rich_ore_wolframite, #f1f1f1
rich_ore_zircon, #f1f1f1
rod_bronze, #ffffff
rod_chromium, #ffffff
rod_cobalt, #ffffff
rod_copper, #ffffff
rod_hastelloy, #ffffff
rod_magnesium, #ffffff
rod_manganese, #ffffff
rod_molybdenum, #ffffff
rod_neodymium, #ffffff
rod_osmium, #ffffff
rod_platinum, #ffffff
rod_sodium, #ffffff
rod_stainlesssteel, #ffffff
rod_thorium, #ffffff
rod_tin, #ffffff
rod_titanium, #ffffff
rod_tungsten, #ffffff
rod_tungstencarbide, #ffffff
rod_unobtanium, #ffffff
rod_vanadium, #ffffff
rod_zinc, #ffffff
rod_zirconium, #ffffff
sediment_carnallite, #ffffff
sediment_rocksalt, #ffffff
sediment_saltpeter, #ffffff
slag_acanthite, #e7e7e7
slag_alumina, #e7e7e7
slag_anatase, #e7e7e7
slag_bauxite, #e7e7e7
slag_calcium, #e7e7e7
slag_cassiterite, #e7e7e7
slag_chalcocite, #e7e7e7
slag_chalcopyrite, #e7e7e7
slag_chromite, #e7e7e7
slag_cobaltite, #e7e7e7
slag_cryolite, #e7e7e7
slag_cuprite, #e7e7e7
slag_fluorite, #e7e7e7
slag_galena, #e7e7e7
slag_gypsum, #e7e7e7
slag_hematite, #e7e7e7
slag_ilmenite, #e7e7e7
slag_magnetite, #e7e7e7
slag_millerite, #e7e7e7
slag_molybdenite, #e7e7e7
slag_monazite, #e7e7e7
slag_pyrite, #e7e7e7
slag_pyrolusite, #e7e7e7
slag_scheelite, #e7e7e7
slag_smithsonite, #e7e7e7
slag_sphalerite, #e7e7e7
slag_thorianite, #e7e7e7
slag_thorite, #e7e7e7
slag_unobtania, #e7e7e7
slag_uraninite, #e7e7e7
slag_vanadinite, #e7e7e7
slag_wolframite, #e7e7e7
slag_zircon, #e7e7e7
wire_bronze, #919191
wire_chromium, #919191
wire_cobalt, #919191
wire_gold, #919191
wire_hastelloy, #919191
wire_iron, #919191
wire_magnesium, #919191
wire_manganese, #919191
wire_neodymium, #919191
wire_osmium, #919191
wire_platinum, #919191
wire_sodium, #919191
wire_stainlesssteel, #919191
wire_thorium, #919191
wire_tin, #919191
wire_titanium, #919191
wire_tungsten, #919191
wire_tungstencarbide, #919191
wire_unobtanium, #919191
wire_vanadium, #919191
wire_zinc, #919191
wire_zirconium, #919191
